dp_name,dp_id,c1,c2,c3,c4,c5,c6,c7
display.UserAccount.email,1037,display,masked,,UserAccount,email,,Read
read.UserAccount.handle,1038,read,,,UserAccount,handle,,Read
create.Auth.code,1039,create,2FA,,Auth,code,,Read
Display.DM.All,1040,Display,,,DM,All,,ReadWriteDM
Read.App.Id,1041,Read,,,App,Id,,Read
Read.DM.Media-attachment,1042,Read,,,DM,Media-attachment,,ReadWriteDM
Read.DM.text,1043,Read,,,DM,text,,ReadWriteDM
Display.DM.text,1044,Display,,,DM,text,,ReadWriteDM
Read.UserAccount.settings,1045,Read,OpenDMs,,UserAccount,settings,,Read
Display.UserAccount.Id,1046,Display,,,UserAccount,Id,,Read
Read.DM.Id,1047,Read,,,DM,Id,,ReadWriteDM
Display.DM.welcomeMessage,1048,Display,,,DM,welcomeMessage,,ReadWriteDM
Create.DM.welcomeMessage,1049,Create,,,DM,welcomeMessage,,ReadWriteDM
Update.DM.welcomeMessage,1050,Update,,,DM,welcomeMessage,,ReadWriteDM
Display.Auth.Token,1051,Display,KDT-token,,Auth,Token,,Read
Read.Auth.Cookie,1052,Read,,,Auth,Cookie,,Read
Display.Tweet.likes.[count],1053,Display,aggregate,,Tweet,likes,count,Read
Display.Tweet.replies.[count],1054,Display,aggregate,,Tweet,replies,count,Read
Display.Tweet.retweet.[count],1055,Display,aggregate,,Tweet,retweet,count,Read
Display.Tweet.quote.[count],1056,Display,aggregate,,Tweet,quote,count,Read
Display.DM.Conversation ID,1057,Display,,,DM,Conversation ID,,ReadWriteDM
Read.ClientApp.Id,1058,Read,,,ClientApp,Id,,Read
Display.UserAccount.Phonenumber,1059,Display,,,UserAccount,Phonenumber,,Read
Create.AdsAccount.Tweet,1060,Create,,,AdsAccount,Tweet,,ReadWrite
Read.AdsAccount.Tweet,1061,Read,,,AdsAccount,Tweet,,Read
Delete.AdsAccount.Tweet,1062,Delete,,,AdsAccount,Tweet,,ReadWrite
Display.AdsAccount.Id,1063,Display,,,AdsAccount,Id,,Read
Read.AdsAccount.Id,1064,Read,,,AdsAccount,Id,,Read
Display.AdsAccount.profile,1065,Display,,,AdsAccount,profile,,Read
Display.AdsAccount.appstore-apps,1066,Display,,,AdsAccount,appstore-apps,,Read
Read.AdsAccount.Media metadata,1067,Read,,,AdsAccount,Media metadata,,Read
Display.AdsAccount.Media metadata,1068,Display,,,AdsAccount,Media metadata,,Read
Read.AdsAccount.Media Key,1069,Read,,,AdsAccount,Media Key,,Read
Display.AdsAccount.media,1070,Display,,,AdsAccount,media,,Read
Create.AdsAccount.Stored card,1071,Create,,,AdsAccount,Stored card,,ReadWrite
Display.Card.cta-labels,1072,Display,,,Card,cta-labels,,Read
Display.Card.Id,1073,Display,,,Card,Id,,Read
Create.Card.metadata,1074,Create,,,Card,metadata,,ReadWrite
Read.Card.metadata,1075,Read,,,Card,metadata,,Read
Display.Card.metadata,1076,Display,,,Card,metadata,,Read
Update.Card.metadata,1077,Update,,,Card,metadata,,ReadWrite
Update.Card.all,1078,Update,,,Card,all,,ReadWrite
Delete.Tweet.text,1079,Delete,draft,,Tweet,text,,ReadWrite
Delete.Tweet.text,1080,Delete,scheduled,,Tweet,text,,ReadWrite
Delete.Tweet.Id,1081,Delete,draft,,Tweet,Id,,ReadWrite
Create.Tweet.Id,1082,Create,scheduled,,Tweet,Id,,ReadWrite
Create.Tweet.Id,1083,Create,,,Tweet,Id,,ReadWrite
Display.Card.all,1084,Display,,,Card,all,,Read
Delete.Tweet.media,1085,Delete,,,Tweet,media,,ReadWrite
Create.Tweet.media,1086,Create,,,Tweet,media,,ReadWrite
Create.Tweet.text,1087,Create,,,Tweet,text,,ReadWrite
Update.UserAccount.Device,1088,Update,,,UserAccount,Device,,ReadWrite
Display.DM.media,1089,Display,,,DM,media,,ReadWriteDM
Create.DM.text,1090,Create,,,DM,text,,ReadWriteDM
Create.DM.media,1091,Create,,,DM,media,,ReadWriteDM
Update.DM.text,1092,Update,,,DM,text,,ReadWriteDM
